Date,Close
2014-09-09,142.98
2014-09-10,142.988
2014-09-11,143.015
2014-09-12,143.027
2014-09-15,143.07
2014-09-16,143.104
2014-09-17,143.123
2014-09-18,143.11
2014-09-19,143.218
2014-09-22,143.32
2014-09-23,143.376
2014-09-24,143.372
2014-09-25,143.366
2014-09-26,143.4
2014-09-29,143.5
2014-09-30,143.6
2014-10-08,143.72
2014-10-09,143.75
2014-10-10,143.79
2014-10-13,143.83
2014-10-14,143.9
2014-10-15,143.94
2014-10-16,144.0
2014-10-17,143.89
2014-10-20,144.03
2014-10-21,144.05
2014-10-22,144.06
2014-10-23,144.06
2014-10-24,144.12
2014-10-27,144.41
2014-10-28,144.41
2014-10-29,144.39
2014-10-30,144.421
2014-10-31,144.49
2014-11-03,144.55
2014-11-04,144.59
2014-11-05,144.62
2014-11-06,144.65
2014-11-07,144.75
2014-11-10,144.82
2014-11-11,145.03
2014-11-12,145.09
2014-11-13,145.11
2014-11-14,145.13
2014-11-17,145.12
2014-11-18,145.13
2014-11-19,145.15
2014-11-20,145.21
2014-11-21,145.23
2014-11-24,145.25
2014-11-25,145.26
2014-11-26,145.34
2014-11-27,145.34
2014-11-28,145.37
2014-12-01,145.389
2014-12-02,145.381
2014-12-03,145.388
2014-12-04,145.386
2014-12-05,145.39
2014-12-08,145.461
2014-12-09,145.514
2014-12-10,145.46
2014-12-11,145.449
2014-12-12,145.419
2014-12-15,145.484
2014-12-16,145.516
2014-12-17,145.592
2014-12-18,145.599
2014-12-19,145.509
2014-12-22,145.466
2014-12-23,145.477
2014-12-24,145.525
2014-12-25,145.617
2014-12-26,145.666
2014-12-29,145.708
2014-12-30,145.758
2014-12-31,145.679
